ticket_key,category,type,confidence,reasoning,components
KHELP-11561,Payment-Processing,Bug-Defect,95,"This is a payment processing bug where CSRF cookie verification fails during checkout authorization, preventing users from completing transactions despite initial payment approval confirmation.","B2C web checkout, CSRF cookie verification, payment authorization, credit card processing, SameSite cookie configuration"
KHELP-11560,Booking-Amendments,Bug-Defect,95,"Users are experiencing a system error ""Illegal value for primitive StackTrace"" when trying to create amendments, indicating a technical defect in the booking amendments functionality.","Amendment creation, error handling, system exceptions"
KHELP-11559,Email-Notifications-Sending,Bug-Defect,90,"The documentation states itinerary owners should receive email notifications when customers comment, but this functionality is not working as designed for CarrGolf users, indicating a defect in the email notification system.","Email notifications, itinerary comments, customer replies, notification system"
KHELP-11557,Payment-UI-Forms,Bug-Defect,95,"The New Payment UI is not displaying group payment options that were previously available, indicating a defect in the payment interface functionality.","New Payment UI, group payments, itinerary groups, deposit and balance payments"
KHELP-11556,Pricing-Engine-Calculation,How-To-Question,95,"User is seeking guidance on how to properly implement dynamic pricing for packages and prevent unwanted price recalculations on existing bookings, which is a pricing engine calculation question rather than a defect.","Package pricing, dynamic pricing, price recalculation, itineraries, sell prices, package margins, promo codes"
KHELP-11555,Builder-Addons-Supplements,Bug-Defect,95,"User is encountering an error when trying to add a supplement in the Itinerary Builder, indicating a defect in the add-ons/supplements functionality.","Itinerary Builder, Add-ons/supplements, Accommodation services, Error handling"
KHELP-11554,Inventory-Allotment-Management,How-To-Question,95,"The user is requesting training and guidance on inventory management best practices rather than reporting broken functionality, and their questions directly relate to inventory and allotment management processes.","inventory contracts, allotment tables, closeouts, service availability, on request status"
KHELP-11553,Email-Notifications-Sending,How-To-Question,90,"User is asking for guidance and suggestions on email deliverability best practices to prevent emails from going to spam folders, which is a consultation/how-to request rather than a bug since emails are technically sending successfully.","Email delivery, SendGrid, spam filtering, email deliverability"
KHELP-11552,Email-Notifications-Sending,Bug-Defect,95,"The system is incorrectly marking bounced emails as successful sends instead of properly detecting and indicating bounced email status, which is a clear defect in the email notification sending functionality.","supplier emails, client document emails, activity center, bounce detection, email sending"
KHELP-11551,Booking-Wizard-Confirmation,Bug-Defect,95,Confirmations are failing to save without generating error messages (silent failure defect) in the booking confirmation process.,"Confirmations saving mechanism, Confirmation list display, Booking process flow"
KHELP-11550,Booking-Quote-Management,Bug-Defect,95,"The system fails to validate service availability during quote-to-booking conversion, allowing inactive services to be booked without warning, which is a clear system defect in the quote management process.","Quote conversion, Service status validation, Booking wizard, Service availability checking"
KHELP-11549,Email-Notifications-Sending,Bug-Defect,95,"Email delivery is failing despite system showing emails as ""Sent"" in activity center and queue records, indicating a defect in the email notification sending process.","supplier request emails, bookings tab, activity center, email queue records, email delivery system"
KHELP-11548,Email-Notifications-Sending,Bug-Defect,95,"The email delivery system is failing to log quote delivery emails to the activity center despite successful email delivery, indicating a defect in the email notification logging functionality.","Quote document delivery emails, Activity center logging, Email delivery system"
